Group.1,x
10/1/12,0
10/2/12,126
10/3/12,11352
10/4/12,12116
10/5/12,13294
10/6/12,15420
10/7/12,11015
10/8/12,0
10/9/12,12811
10/10/12,9900
10/11/12,10304
10/12/12,17382
10/13/12,12426
10/14/12,15098
10/15/12,10139
10/16/12,15084
10/17/12,13452
10/18/12,10056
10/19/12,11829
10/20/12,10395
10/21/12,8821
10/22/12,13460
10/23/12,8918
10/24/12,8355
10/25/12,2492
10/26/12,6778
10/27/12,10119
10/28/12,11458
10/29/12,5018
10/30/12,9819
10/31/12,15414
11/1/12,0
11/2/12,10600
11/3/12,10571
11/4/12,0
11/5/12,10439
11/6/12,8334
11/7/12,12883
11/8/12,3219
11/9/12,0
11/10/12,0
11/11/12,12608
11/12/12,10765
11/13/12,7336
11/14/12,0
11/15/12,41
11/16/12,5441
11/17/12,14339
11/18/12,15110
11/19/12,8841
11/20/12,4472
11/21/12,12787
11/22/12,20427
11/23/12,21194
11/24/12,14478
11/25/12,11834
11/26/12,11162
11/27/12,13646
11/28/12,10183
11/29/12,7047
11/30/12,0